NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Parking wielopoziomowy naszych marzeń - parking przesiadkowo-postojowo-wielopoziomowy przy skrzyżowaniu ul.Grunwaldzkiej z al.Szajnowicza-Iwanowa,50.8800160578,20.5908679962,7471208.141,5638383.424,"okolice skrzyżowania ul.Grunwaldzkiej z al.Szajnowicza-Iwanowa, po stronie południowo-wschodniej, obręb 0009, działki nr 494/3 i 479/27",,ZADANIE ODRZUCONE,
Uspokojenie ruchu na ul.Skłodowskiej-Curie - wyeliminowanie tranzytu przez uliczkę osiedlową przez zastosowanie odpowiednich rozwiązań technicznych i organizacji ruchu,50.8881249986,20.6088924408,7472481.349,5639278.566,"Miasto Kielce: pas drogowy ul.M.Skłodowskiej-Curie między ul.Częstochowską a ul.1 Maja, pas drogowy ul.1Maja oraz ul.Poprzecznej, obręb: 0009, działki 285/11, 285/12, 285/9, 302/1, 302/3, 340/4",,ZADANIE ODRZUCONE,
Bezpiecznie i wygodnie rowerem wokół Osiedla Na Stoku,50.8972949294,20.6715917587,7476897.451,5640277.111,"Pas drogowy ulic: Sikorskiego i Jana Nowaka - Jeziorańskiego obręb: 0007, działka nr 835/2, 844/34, 876/12 - 876/23",,ZADANIE ODRZUCONE,
"Włączenia rowerowe-wjazdy na drogi rowerowe przy ulicach: Radiowa, Szczecińska, Pocieszka, Żytnia, Łódzka, Jesionowa",50.8766854328,20.6375706196,7474492.918,5637995.767,Miasto Kielce: pas drogowy w miejscach wskazanych w części opisowej,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,712
Skrót rowerowy - łatwiej rowerem na Ślichowice,50.8669291230,20.6205868721,7473292.063,5636916.510,420/27 obręb 0009,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,801
"Obiekt rekreacyjno - sportowo - szkoleniowy. ""Park moto-bike ""Komin""  Park o charakterze sportowo rekreacyjnym z wyznaczonymi trasami, torami i sekcjami offroadowymi dla motocykli i rowerów przeznaczonymi do nauki, szkolenia i zawodów",50.9025998066,20.6237411499,7473534.318,5640883.275,"wydzielona działka na przemysłowych nieużytkach o pow. około 10-11 ha wskazana poglądowo na załączonej koncepcji: obręb nr 0005, działki lub ich części 2/4, 5, 6, 9, 10, 11, 12, 15  zlokalizowane po wschodniej części ulicy Hubalczyków",,ZADANIE ODRZUCONE,
"Rozbudowa placu zabaw na terenie Przedszkola Samorządowego nr 23 w Kielcach, ul.Fabryczna 6",50.8537013575,20.5537810922,7468580.550,5635471.384,"Przedszkole Samorządowe nr 23 w Kielcach, ul.Fabryczna 6, 25-818 Kielce; nr działki 495, nr obrębu 020",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4562
Stworzenie miejsc parkingowych wraz z przebudową wjazdu i wymianą ogrodzenia przy Przedszkolu Samorządowym nr 2 w Kielcach,50.8905259354,20.6124463677,7472732.807,5639544.321,"Kielce, ul.Sowia 1b, nr obrębu 0005, nr działki 225 oraz 236/14",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,424
Opracowanie projektu koncepcyjnego oraz opracowanie projektu budowlanego na rozbudowę pasa drogowego o ciąg rowerowo pieszy ulic Posłowicka i Leśniówka,50.8222583009,20.6022512913,7471974.626,5631954.288,"ulica Posłowicka obręb 0027 nr 369/4 oraz 0028 nr 261, ulica Leśniówka 0029 nr 71 obręb 0030 nr 772 i nr 654/2",,ZADANIE ODRZUCONE,
"Przebudowa chodników i ciągów pieszych od ulic Jesionowej wzdłuż budynków Bukowa 6, Toporowskiego 34 oraz przed wejściem do klatek budynku Bukowa 6. Wykonanie oświetlenia ulicznego oraz parkingowego  ze zwiększeniem ilości lamp",50.8850250860,20.6385254860,7474564.661,5638923.116,"nr obrębu 0010, nr działki 686/21,  686/19, 686/18, 686/16 - osiedle Szydłówek",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,128
