NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Wodny park zabaw - Kielce przy Silnicy,50.8825003323,20.6293094158,7473914.759,5638645.485,"Działka nr 186/3 - Nad Silnicą (lub inna, którą władze uznają za lepszą dla proponowanej inwestycji)",Duże (powyżej 150 tys. zł),ZADANIE ODRZUCONE,0
Mini - Park - Uroczysko,50.8928827600,20.6443619728,7474979.557,5639795.187,Działki nr 947/342,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2192
Mini - Park - Ślichowice,50.8878745766,20.5749356747,7470091.971,5639263.914,działka nr 283 - od strony ulicy Tektonicznej,Małe (do 150 tys.zł),ZADANIE ODRZUCONE,0
Sąsiedzka strefa wypoczynku Słoneczne i Bocianek - grill i zabawa,50.8857899308,20.6492865086,7475322.268,5639004.543,dz. nr 275/276 - Park im. Adolfa Dygasińskiego od strony zachodniej w wyższej części wzniesienia,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4521
Wieża widokowa - 80m żelbet nadbudowa 6m metal-szkło,50.8646640943,20.6259137392,7473665.759,5636662.643,ul.Krakowska 2 obok pływalni zabudowa 10x10m2,Duże (powyżej 150 tys. zł),ZADANIE ODRZUCONE,0
"""Międzyszkolny Kompleks Sportowo-Rekreacyjny Uroczysko"" przy Szkole Podstawowej nr 27 im. K.K.Baczyńskiego i V Liceum Ogólnokształcącym im. ks.P.Ściegiennego - przy ul.Marszałkowkiej",50.8910419768,20.6442654133,7474971.777,5639590.456,"Teren wokół boiska Orlik i przy Szkole Podstawowej nr 27 im.K.K. Baczyńskiego, 25-549 Kielce, ul.Marszałkowska 96, nr obrębu - 0006; nr działki  - 967/10; 697/11; 967/20, 967/15; 949",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,7090
Budowa wielofunkcyjnego boiska do uprawiania sportów plażowych przy Zespole Szkół Ponadgimnazjalnych nr 1 w Kielcach,50.8640174067,20.5977129936,7471680.149,5636601.141,"25-734 Kielce, ul.Jagiellońska 90, obr. geod. 015, nr działki 555 i 554/1",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,563
Siłownia na powietrzu - Aleja Legionów 4,50.8633470090,20.6246960163,7473579.292,5636516.570,"Boisko szkolne przy Zespole Szkół Ponadgimnazjalnych nr 2 w Kielcach, Al.Legionów 4",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5304
"Budowa sieci monitoringu przy ulicach: Fabryczna, Hutnicza, Pańska i Giserska",50.8531611962,20.5535531044,7468564.134,5635411.396,"Fabryczna, Hutnicza, Pańska i Giserska",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5273
Plac zabaw i siłownia zewnętrzna,50.8211264099,20.5788195133,7470322.912,5631837.528,"Działka 470, obręb: 0027 ul.Posłowicka 98",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,350
