NAZWA,LAT,LNG,X,Y,PROPONOWANA LOKALIZACJA,RODZAJ PROJEKTU (DUŻE/MAŁE),INFORMACJA O DOPUSZCZENIU,SUMA GŁOSÓW WAŻNYCH
Rozbudowa Sali koncertowej na Bazie Zbożowej,50.8783575446,20.6558096409,7475777.409,5638175.627,Kielce ul.Zbożowa 4,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,671
"Przebudowa ciągów pieszych od ul.Jesionowej wzdłuż Bukowa 6 Marszałkowska 34 chodnik przed Bukowa 6. Wykonanie oświetlenia ulicznego parkingowego ze zwiększeniem ilości lamp od ul.Jesionowej Bukowej wzdłuż Marszałkowskiej 34 Bukowej 6. Rekultywacja zieleni wokół w/w budynków. Montaż ławek, koszy na śmieci.",50.8851739948,20.6391692162,7474610.038,5638939.458,"Obręb nr 0010 nr działki 613/2, 686/21, 686/20, 686/19, 686/18, 686/16 osiedle Szydłówek",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,247
Zamknij oczy: zobacz Kielce - mapy w 6 punktach miasta dostępne nie tylko dla widzących,50.8716433480,20.6316187978,7474071.244,5637436.974,"ul.Daleszycka 21, działka 272/36; Aleja Legionów 1, wejście  Amfiteatru; Ks.Piotra Ściegiennego 8, wejście do Kolporter Arena; Plac Artystów, Skrzyżowanie ul.Sienkiewicza i ul.Kapitulnej, Plac Niepodległości - wyjście z dworca PKP; Rynek 1 - Urząd",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3451
Rowerowa rewolucja!,50.8687319261,20.6383994222,7474546.916,5637110.758,"Obręb 0017, działki 1140, 1687, 1134/2; Obręb 0009, działki 826/1, 826/2, 1152/1, 1209/19; Obręb 0015, działki 108/1, 108/5, 108/6, 108/7, 108/9, 257/59",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1099
ZIELONE SERCE CZARNOWA – I etap uporządkowania zielonego terenu i budowy infrastruktury pod przyszły PARK DLA CZARNOWA (pomiędzy ulicą Piekoszowską i Mieszka I),50.8775451901,20.6040805578,7472136.472,5638103.505,"NR: 1099/6 i 1099/4; OBRĘB: 0009, na działce 1099/4 za rowem na północ za planowaną inwestycją ""Mieszkania Plus""",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3093
Nowe Miejsca Parkingowe Ślichowice I,50.8847475729,20.5921876431,7471303.915,5638909.230,"ul Puscha działka 1839/1 okolice numeru 19, ul Puscha działka 420/23 okolice nr 2, ul Kowalczewskiego działka 420/27 okolice nr 11, ul Prausów przedłużenie w stronę pętli autobusowej działka 420/4",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,639
Dziecięcy ogród marzeń - budowa i modernizacja placu zabaw dla wszystkich dzieci przedszkolnych i mieszkańców osiedla Uroczysko przy Przedszkolu Samorządowym nr 35,50.8936711614,20.6461483240,7475105.653,5639882.283,NR: 947/47;947/50; 947/271; 947/272;969/3;969/4;969/5;969/6;969/7;OBRĘB: 0006,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,7989
Kreatywna strefa zabawy i nauki na Barwinku,50.8474137636,20.6301409006,7473953.727,5634742.279,"NR: 1143/3; OBRĘB: 0024 - utwardzona, asfaltowa powierzchnia placów obok przyszkolnego (Gimnazjum nr 16) boiska poliuretanowego",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4168
"Modernizacja: 1. placu zabaw; 2. istniejącego chodnika; 3; Furtka i wejście od strony Romualda;  na terenie Przedszkola Samorządowego nr 33 w Kielcach, ul. Romualda 6",50.8730634465,20.6451022625,7475021.043,5637590.295,Nr obrębu: 0017. Nr działki: 166/8  166/10   166 /12,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3572
Inteligentne miejskie ławki solarne,50.8679515664,20.6240630150,7473537.337,5637028.992,NR: 591; OBRĘB: 0016,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,318
OGRÓD ZABAWY - Rewitalizacja Placu Zabaw przy Przedszkolu Samorządowym Nr 43.,50.8681140718,20.6399095058,7474652.876,5637041.511,"Działka Nr: 580/51; OBRĘB: 0017 Kielce, ul. Astronautów 5",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,523
Zagospodarowanie placu manewrowo-postojowego przy Rodzinnym Ogrodzie Działkowym Zacisze I w Kielcach,50.8982625732,20.6612277031,7476168.866,5640388.043,"obręb 0006, działka nr 1192/3, 1192/1, 1208/18, 1206/22 rejon ulic Warszawskiej, Karczunek, Jeleniowskiej",Małe (do 150 tys.zł),ZADANIE ODRZUCONE,0
"""Nasza Mała Ojczyzna - Nasza Szkoła, Nasze Osiedle"" - modernizacja bieżni, placu apelowego i budowa placu zabaw przy Zespole Szkół Ogólnokształcących nr 29 w Kielcach",50.8688317976,20.6069719791,7472334.803,5637133.168,"Budynek ZSO nr 29, ul.Zimna 16, Kielce działka nr 484, obręb ewidencyjny 0015, nr ewidencyjny 266101_1.0015.G508, powierzchnia działki 1.2821 ha",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,432
Doposażenie infrastruktury ogólnodostępnych boisk znajdujących się na terenie Zespołu Szkół Ogólnokształcących nr 6 w Kielcach - budowa trybun dla kibiców oraz montaż ławeczek i koszy na śmieci,50.8739791248,20.6427124143,7474853.331,5637692.963,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach, 25-321 Kielce ul.Leszczyńska 8",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3427
"Modernizacja pomieszczeń gospodarczych w celu zorganizowania siłowni wewnętrznej, ogólnodostępnej, całorocznej wraz z zapleczem i szatnią w ZSO nr 6 w Kielcach",50.8738555685,20.6428813934,7474865.157,5637679.161,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach ul.Leszczyńska 8, 25-321 Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3288
Wykonanie ogólnodostępnego placu zabaw przy ZSO nr 6 w Kielcach,50.8739926652,20.6427231431,7474854.093,5637694.465,"Zespół Szkół Ogólnokształcących nr 6 w Kielcach ul.Leszczyńska 8, 25-321 Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3438
"Modernizacja placu zabaw przy Przedszkolu Samorządowym nr 16, ul.Nowy Świat 34 w Kielcach",50.8778379779,20.6304493547,7473992.380,5638126.456,"ul.Nowy Świat 34, nr działki 425/12, 425/14, 425/6, obręb 0010",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2222
Boisko do streetballa dla dzieci i młodzieży przy Specjalnym Ośrodku Szkolno - Wychowawczym dla Słabosłyszących i Niesłyszących,50.8795371259,20.6128326059,7472753.573,5638321.816,"Obręb 10109; Działka nr  1300/9; ul.Jagiellońska 30, 25-608 Kielce; Zespół Placówek Szkolno - Wychowawczych w Kielcach",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,558
"Placyk ""Kubusia"" dla Naszych Milusińskich",50.8814291321,20.6123980880,7472724.099,5638532.437,"Obręb 10109; Działka nr 1533/3; ul.Chałubińskiego 32, 25-619 Kielce, Przedszkole Samorządowe nr 29",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1803
Ekologiczny drewniany plac zabaw dla dzieci,50.8890623769,20.5752682686,7470116.133,5639395.906,"Obręb 10108, działka 237",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,402
Boisko wielofunkcyjne przy I Liceum Ogólnokształcącym im. S. Żeromskiego,50.8598797480,20.6276142597,7473782.786,5636129.844,NR: 24/12; OBRĘB: 0024,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,740
"Chodnik (wąski 1,10 m szer.) biegnący przez działkę nr 945 przy ul.Klonowej, prowadzący nad kielecki zalew",50.8880302445,20.6355106831,7474354.173,5639258.444,"Początek chodnika: od działki 926 przy ul.Klonowej i dalej wzdłuż 928 (przez działkę 945), potem równolegle do ścieżki rowerowej (działki: 928, 927, 923 do 922) i w drugą stronę do ul. Wiśniowej do działki nr 929",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1729
Poprawa bezpieczeństwa i funkcjonalności parkingu szkolnego oraz chodników wokół budynku ZSO Nr 8 w Kielcach,50.8506685841,20.5535101891,7468559.436,5635134.145,"Teren ZSO Nr 8 przy Alei Górników Staszicowskich 22A, 25-804 Kielce, nr obrębu 020, numery działek: 550/4, 550/7, 550/8",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,5239
Budowa placu zabaw dla dzieci oraz siłowni zewnętrznej dla dorosłych w jednym kompleksie,50.8390639922,20.6590175629,7475982.993,5633803.698,Teren za budynkiem usługowca przy ul.Wojska Polskiego na wysokości pętli autobusowej na Bukówce nr ewid. dz. 1111/53 obr. 0032 lub obok przystanku autobusowego na brzegu lasu nr ewid. Dz. 1910/11 obr.0024,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,421
ZESPÓŁ BOISK SPORTOWYCH WRAZ Z SIŁOWNIĄ ZEWNĘTRZNĄ   I STREFĄ STREET WORKOUT PRZY ZSE W KIELCACH,50.8759610581,20.6389009953,7474586.153,5637914.731,"Obręb 017, nr działki 29/27, 29/25, 29/13 ul. Prezydenta R. Kaczorowskiego 8 Kielce",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,9250
Budowa kompleksu boisk sportowych przy SP Nr 25 w Kielcach,50.8872417476,20.5790501833,7470381.070,5639191.861,NR: 256; OBRĘB: 0008,Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,6081
Obserwatorium Astronomiczne i Planetarium w Kielcach,50.8624565164,20.5859488249,7470851.015,5636432.089,"NR: 403/28; OBRĘB: 0021, ul. Krzemionkowa 1, przy Zespole Szkół Ogólnokształcących nr 15 z Oddziałami Integracyjnymi w Kielcach",Duże (powyżej 150 tys. zł),ZADANIE ODRZUCONE,0
"Budowa w pełni wyposażonego boiska do siatkówki plażowej ze stałymi słupkami, piaszczystej nawierzchni, zdejmowaną siatką, ogrodzonego siatką wysokości 3,5m, wymiary ogrodzenia 25m x 15m z zamykaną bramą wejściową",50.8573688703,20.6276974082,7473787.232,5635850.513,"Nr obrębu 0024, nr działki 415/2 - część południowa, teren boiska przy Zespole Szkół Ekonomicznych w Kielcach ul.Langiewicza 18",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,3560
Budowa boiska wielofunkcyjnego przy Zespole Szkół Ekonomicznych w Kielcach,50.8572198726,20.6275847554,7473779.217,5635833.979,"Kielce ul.Langiewicza 18, nr obrębu 0024, działka 415",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4239
Trasa dla rolkarzy,50.8832872173,20.6301167608,7473972.010,5638732.730,"Rewitalizacja starej, zniszczonej alejki asfaltowej wzdłuż rzeki Silnicy. Odcinek od ul.IX Wieków Kielc (przy Urzędzie Wojewódzkim) do zapory zalewu kieleckiego przy ul.Jesionowej",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,356
Modernizacja placu zabaw przy Przedszkolu Samorządowym nr 4 w Kielcach 	  „Więcej ruchu dla maluchów – profilaktyka otyłości wśród dzieci”,50.8661504260,20.6505203247,7475398.746,5636819.494,NR: 745; OBRĘB: 0017,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,2535
"Budowa placu o funkcji rekreacyjno - wypoczynkowej przy ul.Szczygla wyposażonego w urządzenia do ćwiczeń, ławki, stoliki do gier planszowych oraz zieleń.",50.8888238041,20.6144741178,7472874.485,5639354.234,"Osiedle Herby, strefa podmiejska miasta Kielce, ulica Szczygla - naprzeciw bramy wjazdowej na teren szkoły. Obręb 0009 miasta Kielce, działki ew. nr nr 294/17, 294/18 i 295/4",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,989
Budowa parkingu z płyt ażurowych na pasie terenu zielonego pomiędzy ulicą Krakowską a ulicą Kryształową na wysokości pawilonu handlowego przy ul.Kryształowej 4A-G,50.8598018671,20.5898326635,7471122.795,5636135.270,"Osiedle Podkarczówka, strefa podmiejska miasta Kielce. Lokalizacja na terenie zielonym przy ulicy Kryształowej - działki ew. nr nr 433/10, 433/32 i 433/11 obręb 021 miasta Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1914
Zabudowa małej architektury - ścieżka zdrowia - plac zabaw na powierzchni poliuretanowej.,50.8807268310,20.5836153030,7470698.194,5638465.341,NR: 869/16; OBRĘB: 0008,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,820
Przebudowa ulicy Biskupa Czesława Kaczmarka wraz z przeorganizowaniem miejsc postojowych z równoległych na poprzeczne lub skośne - od strony skweru Szarych Szeregów,50.8658474078,20.6197527051,7473232.725,5636796.486,"Osiedle Chęcińska, strefa śródmiejska miasta Kielce, ulica Kaczmarka Obręb 0016, część działki ew. nr nr 676 i 690/2",Duże (powyżej 150 tys. zł),ZADANIE ODRZUCONE,0
"Budowa placu o funkcji rekreacyjno - wypoczynkowej na terenie pomiędzy ulicami Karczówkowską, Jagiellońską i Kamińskiego wyposażonego w urządzenia do ćwiczeń, ławki, stoliki do gier planszowych oraz zieleń.",50.8683662928,20.6000545621,7471847.608,5637084.001,"Osiedle Jagiellońskie, strefa śródmiejska miasta Kielce. Lokalizacja na terenie zielonym w pobliżu wejścia do Ogrodu Botanicznego - działka ew. nr 440/2 obręb 0015 miasta Kielce",Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1326
"Plac zabaw, siłownia zewnętrzna, boisko, skwerek wypoczynku - zagospodarowanie terenu na cele  rekreacji i kompleksowa rewitalizacja zieleni osiedla Czarnów.",50.8751232742,20.6052365899,7472216.390,5637833.663,"Teren pomiędzy blokami przy ulicach Jagiellońskiej 60, Grunwaldzkiej 22, 24, i Piekoszowskiej 41, 43, 45, 47, 51, 53 do łącznika przy bloku ul.Piekoszowskiej 53, nr obrębu 10115, nr działki 107/19.",Duże (powyżej 150 tys. zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,1821
Modernizacja placu zabaw przy Przedszkolu Samorządowym nr 22 w Kielcach,50.8788821827,20.6102657318,7472572.548,5638249.912,Plac zabaw przy Przedszkolu Samorządowym nr 22 w Kielcach ul.Bolesława Chrobrego 110 nr działki 1175,Małe (do 150 tys.zł),ZADANIE DOPUSZCZONE DO GŁOSOWANIA,4490
